Role,Section,Page/Route,Permission Level,Data Scope,Actions Allowed,Actions Denied,Notes
admin,Dashboard,/admin,Full,All systems and assessments globally,View all assessments; view analytics (score bins/weekly counts/weak families); view POA&M and risk KPIs; view recent audit entries; view submission pipeline counts,None,"Redirected from / when bsv_mode=admin; admins can toggle to employee view via /switch-view"
admin,Dashboard,/dashboard (via /switch-view),Full (employee shell),Own submitted assessments only,View own quiz activity/streak; view assigned systems; take daily quiz,Cannot access /admin panel while in employee view,Admin uses bsv_mode cookie to simulate employee UX
admin,Systems,/systems,Full,All systems,List all systems with auth status; search/filter,None,No system scope filter applied for admins
admin,Systems,/systems/new,Full,N/A,Create new system (name/type/environment/impact levels/auth status),None,Any auth_status value allowed
admin,Systems,/systems/{id},Full,Any system,View full system detail: assessments/POA&Ms/risks/audit history/assignments/RMF steps/inventory/connections/artifacts/observations counts,None,Full admin access to all sub-sections
admin,Systems,/systems/{id}/edit,Full,Any system,Edit all system fields,None,GET+POST both restricted to admin only
admin,Systems,/systems/{id}/delete,Full,Any system,Delete system record,None,Logged to audit_log with DELETE action
admin,Systems,/systems/{id}/assign,Full,Any system,Assign any user to system; validates against employees config or UserProfile table,None,Returns 400 if unknown user
admin,Systems,/systems/{id}/unassign,Full,Any system,Remove user assignment,None,Logged to audit_log
admin,Systems,/systems/{id}/assignments,Full,Any system,List all assignments as JSON,None,JSON API endpoint
admin,Controls,/controls,Full,NIST 800-53r5 catalog (all 1196 controls),Browse/filter/paginate control catalog; filter by family or keyword,None,In-memory CATALOG dict; no DB required
admin,Controls,/controls/{ctrl_id},Full,Single NIST control,View control detail (statement/family/title),None,Returns 404 if ctrl_id not in catalog
admin,Controls,/systems/{id}/controls,Full,System control plan,View per-system control implementation status; update status/narrative/responsible role/inheritance,None,Logs VIEW to audit_log
admin,Controls,/systems/{id}/controls/{ctrl_id},Full,Single system control,Update status/narrative/implementation_type/inherited_from,None,POST creates or upserts SystemControl record
admin,Controls,/systems/{id}/import-controls,Full,Latest assessment controls,Bulk-import control status from most recent linked assessment,None,Auto-maps ai_grade to SystemControl.status
admin,POA&M,/poam,Full,All POA&M items globally,List/filter by status/severity/system; paginate; export,None,status_filter defaults to 'open'
admin,POA&M,/poam/new,Full,N/A,Create new POA&M item (all fields),None,DHS Attachment H lifecycle: draft→open→in_progress→blocked→ready_for_review→closed_verified|deferred_waiver|accepted_risk|false_positive
admin,POA&M,/poam/{id},Full,Any POA&M item,View/edit POA&M detail: status/severity/remediation_plan/root_cause/closure_evidence/waiver_id,None,Supports all DHS-H status values
admin,POA&M,/poam/{id}/update,Full,Any POA&M item,Update any field including root_cause/closure_evidence/risk_accept_review,None,POST endpoint
admin,POA&M,/poam/auto/{assessment_id},Full,Assessment control results,Auto-create POA&M items from failing controls (NOT_FOUND/INSUFFICIENT),None,Bulk operation
admin,POA&M,/poam/import,Full,N/A,Bulk-import POA&M from CSV,None,CSV parsing with preview step
admin,POA&M,/poam/export,Full,All POA&M items,Printable HTML table for PDF export,None,GET request; renders poam_export.html
admin,Risks,/risks,Full,All risks globally,List/filter by level/status/system; paginate,None,Risk register view
admin,Risks,/risks/new,Full,N/A,Create risk (name/description/threat/likelihood/impact/treatment),None,risk_score = likelihood x impact
admin,Risks,/risks/{id},Full,Any risk,View/edit risk detail; update treatment plan/residual scores/review date,None,risk_level auto-derived from score
admin,Risks,/risks/export,Full,All risks,Printable HTML table,None,GET; renders risks_export.html
admin,Observations,/observations,Full,All observations globally,List/filter by system/severity/source/status; paginate,None,Phase 12; OBS_ROLES = issm|isso|sca|auditor|system_owner|admin
admin,Observations,/observations/new,Full,N/A,Create observation (title/source/obs_type/severity/description/control_ids/scope_tags/assigned_to/due_date),None,Logged to audit_log with CREATE action
admin,Observations,/observations/{id},Full,Any observation,View/edit observation detail; promote to POA&M,None,Promote creates PoamItem and sets obs.status=promoted
admin,ATO Documents,/ato,Full,All systems' ATO packages,Matrix view of all systems x 52 doc types; summary counts per system,None,52 ATO_DOC_TYPES across 4 categories: core/authorization/preparation/conmon
admin,ATO Documents,/ato/{system_id},Full,Single system ATO package,View all 52 doc types with status; see finalized percentage; grouped by category in 4 accordions,None,FedRAMP alignment added in Phase 12
admin,ATO Documents,/ato/{system_id}/{doc_type},Full,Single ATO document,Edit (if draft); submit for review; approve; reject; finalize; revise,None,can_finalize requires admin AND doc.status=approved
admin,ATO Documents,/ato/{system_id}/{doc_type}/save,Full,Single ATO document,Save draft content (creates document if not exists),None,_ato_can_edit check; owner_roles from ATO_DOC_TYPES
admin,ATO Documents,/ato/{system_id}/{doc_type}/action,Full,Single ATO document,Execute workflow transitions: submit/approve/reject/finalize/revise,None,Records AtoWorkflowEvent + AtoDocumentVersion on each transition
admin,Submissions,/submissions,Full,All submissions globally,List all ATO submissions; filter by status,None,Phase 5; submission_type: initial|reauthorization|significant_change|annual_review
admin,Submissions,/submissions/{id},Full,Any submission,View submission detail with control snapshot counts,None,Phase 12 adds authorization_type/term_months/term_expires_at/extension_used
admin,Submissions,/submissions/{id}/update,Full,Any submission,Update status/decision/ato_expiry/reviewer; set systems auth_status,None,POST endpoint; decision: authorized|denied|withdrawn
admin,Reports,/reports,Full,All systems,View aggregated report center with KPI cards (total systems/POA&Ms/risks/RMF progress/submissions),None,Scoped to user's systems for non-admins
admin,Reports,/systems/{id}/report,Full,Any system,Printable compliance report (PDF-ready): control coverage/POA&M breakdown by severity/risk breakdown/auth expiry,None,Renders system_report.html
admin,Reports,/ssp/{assessment_id},Full,Any assessment,Generated SSP HTML document; print-to-PDF,None,Renders ssp_export.html
admin,Reports,/ssp/{assessment_id}/oscal,Full,Any assessment,OSCAL-format JSON export,None,Returns JSONResponse
admin,SIEM,/admin/siem,Full,All security events,View all SecurityEvent records (24h stats: total/failed_auth/high_crit/unique_IPs); filter by severity/event_type; paginate,None,SIEM middleware logs: http|login|failed_auth|access_denied|frozen_access|anomaly
admin,Admin Panel,/admin,Full,All assessments,View assessment list with candidate names; download/forward/link actions,None,Only accessible to admin (checked via _is_admin); includes analytics charts
admin,Admin Panel,/admin/download/{id}/json,Full,Any assessment,Download assessment as JSON,None,Logs EXPORT to audit_log
admin,Admin Panel,/admin/download/{id}/original,Full,Any assessment,Download original uploaded SSP file,None,Returns 404 if file not on disk
admin,Admin Panel,/admin/download/{id}/print,Full,Any assessment,Printable HTML report,None,Renders print_report.html
admin,Admin Panel,/admin/forward/{id},Full,Any assessment,Forward assessment to employee via email; sets email_sent=True,None,POST; requires employee_username in employees config with email
admin,Admin Panel,/admin/view-as/{username},Full,Any user's data,View employee dashboard as any user (quiz activity/streak/entries),None,Renders dashboard.html with view_as_mode=True
admin,Admin Panel,/switch-view,Full,N/A,Toggle between admin/employee view (sets bsv_mode cookie),None,Only admins can use this; mode=admin|employee
admin,Admin Panel,/switch-role-view,Full,N/A,Shell into any non-admin role (sets bsv_role_shell cookie),None,Admin can shell into all 13 non-admin roles; ROLE_CAN_VIEW_DOWN[admin] = all valid shell roles
admin,Admin Panel,/exit-shell,Full,N/A,Exit role shell and return to referrer,None,Deletes bsv_role_shell cookie
admin,Admin Panel,/upload,Full,N/A,Upload SSP file (docx/pdf/txt/xlsx/csv); creates Assessment+Candidate records,None,Restricted to admin + sca only
admin,User Management,/admin/users,Full,All user profiles,View all UserProfile records; see role counts/assignment counts,None,Also accessible to issm (read-only view; no provisioned_token shown)
admin,User Management,/admin/users/add,Full,N/A,Add or update user: username/display_name/email/role,None,Valid roles: employee|auditor|bcdr|system_owner|isso|issm|sca|ao|ciso|pen_tester|data_owner|pmo|incident_responder
admin,User Management,/admin/users/provision,Full,N/A,Full user onboarding: generate argon2id password hash via Authelia container; write users_database.yml; update config.yaml; create UserProfile; send welcome email,None,One-time password shown via provisioned_token (5-min TTL)
admin,User Management,/admin/users/{username}/role,Full,Single user,Change role for a specific user,None,POST; valid roles same as /users/add
admin,User Management,/admin/users/bulk-role,Full,Multiple users,Bulk-set role for list of users,None,POST JSON body with usernames+role arrays
admin,User Management,/admin/users/bulk-freeze,Full,Multiple users,Bulk-freeze user accounts,None,POST JSON body with usernames array
admin,User Management,/admin/users/{username}/freeze,Full,Single user,Freeze user account (status=frozen); frozen users get 403 on all main routes,None,POST; Logs UPDATE to audit_log
admin,User Management,/admin/users/{username}/unfreeze,Full,Single user,Restore frozen account to active,None,POST
admin,User Management,/admin/users/{username}/remove,Full,Single user,Mark user as removed (status=removed); soft delete with removed_at timestamp,None,GET shows confirm page; POST /remove/confirm executes
admin,User Management,/admin/users/{username}/restore,Full,Single user,Restore removed user to active (from shadow list),None,POST; redirects to /admin/users/shadow
admin,User Management,/admin/users/shadow,Full,Removed users,View all removed/soft-deleted users,None,Auto-purge runs on startup for users removed > 1 year ago
admin,User Management,/admin/users/{username}/max-packages,Full,Single ISSO profile,Update max_packages limit for an ISSO (1-50),None,POST; affects ISSM productivity score calculation
admin,Audit Log,/admin/audit,Full,Audit log (AuditLog table),View/filter audit log (days/hide_view/page/per_page); paginate with page size 10-100,None,Also accessible to issm and auditor roles
admin,Audit Log,/admin/audit/export,Full,Audit log,Export audit log as CSV or JSON (up to 90 days default); logs EXPORT action,None,Logs EXPORT action to audit_log itself
admin,Role Shell,/switch-role-view?role={role},Full,N/A,Shell into any of 13 non-admin roles to experience their restricted view,None,Sets bsv_role_shell cookie; all higher-level permissions dropped during shell
ao,Dashboard,/dashboard,Role-scoped,Assigned systems only,View quiz activity/streak; view assigned systems,Cannot access /admin; cannot upload SSPs,AO role uses employee dashboard; specialized view at /ao/decisions
ao,Systems,/systems,Role-scoped,Assigned systems only,List assigned systems; view system detail,Cannot edit/delete systems; cannot manage assignments,Non-admins see only systems in their SystemAssignment records
ao,Systems,/systems/{id},Role-scoped,Assigned systems only,View system detail/POA&Ms/risks/audit history,Cannot edit system fields or delete,Access check via _can_access_system
ao,Systems,/systems/{id}/controls,Role-scoped,Assigned system's control plan,View control implementation status; update status/narrative,Cannot edit or delete system catalog entry,Any assigned user can update SystemControl records
ao,Controls,/controls,Read,All NIST controls,Browse control catalog; filter by family/keyword,Cannot edit controls,Read-only access to in-memory CATALOG
ao,POA&M,/poam,Role-scoped,POA&M items for assigned systems,View/filter POA&M items; create new items; update status,Cannot delete POA&M items,scope restricted by _user_system_ids
ao,POA&M,/poam/new,Write,N/A,Create new POA&M item for assigned system,Cannot create POA&M for unassigned system,Requires authenticated user
ao,Risks,/risks,Role-scoped,Risks for assigned systems,View risk register; create/update risks,Cannot delete risks,risk_level derived from likelihood x impact score
ao,Observations,/observations,Role-scoped,Observations for assigned systems,View/create/update/promote observations,Cannot approve artifacts,_OBS_ROLES includes ao? No - _OBS_ROLES = issm|isso|sca|auditor|system_owner|admin only; AO cannot access observations directly
ao,ATO Documents,/ato,Role-scoped,Assigned systems' ATO packages,View ATO matrix for assigned systems,Cannot finalize documents (admin-only),AO role not in any ATO_DOC_TYPES owner_roles or reviewer_roles by default
ao,Submissions,/submissions,Role-scoped,All submissions (global view),View submission list and detail,Cannot update submission status directly (admin-only update),AO uses /ao/decisions for their workflow
ao,ATO Decisions,/ao/decisions,Full (AO-specific),All systems in_progress + decided + expiring,View systems pending ATO decision; view expiring ATOs (within 90 days); record approve/deny decisions; set auth_status,Cannot access if role is not ao or admin,Requires role=ao or admin; excludes EIS-designated systems from pending queue
ao,Reports,/reports,Role-scoped,Assigned systems,View aggregated reporting center; download system compliance reports,Cannot export audit log,Scope filtered by _user_system_ids
ao,SIEM,N/A,None,N/A,No access,Cannot access /admin/siem,SIEM is admin-only
ao,Admin Panel,N/A,None,N/A,Cannot access /admin,No admin panel access,Would get 403
ao,User Management,N/A,None,N/A,Cannot access /admin/users,No user management access,AO can view ISSM dashboard at /issm/dashboard
ao,Audit Log,/admin/audit,Read,Audit log (via _chk_role check),View audit log entries (same access as issm),Cannot export audit log (admin-only export endpoint),_chk_role check: admin or issm; AO does NOT have this access based on code check
ao,Role Shell,/switch-role-view,Downward,Can shell into ciso|issm|isso|sca + lower roles,Shell into lower roles to see their view,Cannot shell up to admin,ROLE_CAN_VIEW_DOWN[ao] = ciso + issm + isso + sca + all _LOWER_THAN_ISSO roles
ao,ISSM Dashboard,/issm/dashboard,Allowed,All ISSOs,View ISSO workload: package counts/open POA&Ms/overdue POA&Ms/productivity scores/quiz metrics for each ISSO,Cannot modify ISSO data from this view,_require_role check: admin|ao|issm
ciso,Dashboard,/dashboard,Role-scoped,Assigned systems only,View quiz activity/streak; view assigned systems,Cannot access /admin,CISO is a non-admin role
ciso,Systems,/systems,Role-scoped,Assigned systems only,List/view assigned systems,Cannot edit/delete systems,Same _can_access_system check as all non-admins
ciso,Controls,/controls,Read,All NIST controls,Browse control catalog,Cannot update system controls unless assigned to system,Catalog is global/public within platform
ciso,POA&M,/poam,Role-scoped,Assigned systems' POA&Ms,View/create/update POA&M items,Cannot delete,Standard non-admin POA&M access
ciso,Risks,/risks,Role-scoped,Assigned systems' risks,View/create/update risks,Cannot delete,Standard non-admin risk access
ciso,Observations,/observations,None,N/A,Cannot access observations,403 returned,CISO not in _OBS_ROLES; _OBS_ROLES = issm|isso|sca|auditor|system_owner|admin
ciso,ATO Documents,/ato,Role-scoped,Assigned systems,View ATO package dashboard; view per-system ATO docs,Can only edit docs where ciso is in owner_roles (none by default),CISO not listed in any ATO_DOC_TYPES owner_roles
ciso,Reports,/reports,Role-scoped,Assigned systems,View aggregated reports; generate system compliance reports,Cannot export audit log,Scoped by _user_system_ids
ciso,Admin Panel,N/A,None,N/A,No access,403,CISO is non-admin
ciso,User Management,N/A,None,N/A,No access,403,CISO cannot manage users
ciso,Audit Log,N/A,None,N/A,No access to /admin/audit,403,CISO is not in the allowed list (admin|issm|auditor)
ciso,ISSM Dashboard,/issm/dashboard,None,N/A,Cannot access,403 (_require_role check),_require_role allows admin|ao|issm only; CISO not included
ciso,Role Shell,/switch-role-view,Downward,Can shell into issm|isso|sca + lower roles,Shell into lower-tier roles,Cannot shell to ao or admin,ROLE_CAN_VIEW_DOWN[ciso] = issm + isso + sca + all _LOWER_THAN_ISSO
issm,Dashboard,/dashboard,Role-scoped,Assigned systems only,View quiz activity/streak; view assigned systems; view assigned system POA&M/risk counts,Cannot access /admin,ISSM has specialized dashboard at /issm/dashboard
issm,Systems,/systems,Role-scoped,Assigned systems only,View system detail; update system controls; view POA&Ms/risks/RMF,Cannot edit/delete system record; cannot manage assignments,_can_access_system check applies
issm,Controls,/controls,Read,All NIST controls,Browse/filter control catalog,Cannot modify catalog,In-memory read
issm,POA&M,/poam,Role-scoped,Assigned systems' POA&Ms,Full POA&M CRUD: create/view/edit/update status; auto-create from assessment; import CSV; export; manage root_cause/closure_evidence,Cannot delete POA&M items,DHS-H aligned status lifecycle
issm,Risks,/risks,Role-scoped,Assigned systems' risks,Full risk register CRUD,Cannot delete risks,residual scores tracked
issm,Observations,/observations,Role-scoped,All observations (unfiltered),View/create/update observations; promote to POA&M,Cannot approve artifacts independently,_OBS_ROLES includes issm
issm,ATO Documents,/ato,Role-scoped,Assigned systems' ATO docs,View ATO matrix and per-system docs; edit docs where issm is in owner_roles (none by default in ATO_DOC_TYPES); approve/review docs where issm is in reviewer_roles (none by default),Cannot finalize (admin-only),ISSM not explicitly listed in ATO_DOC_TYPES owner_roles or reviewer_roles; access limited to view
issm,Submissions,/submissions,Read,All submissions,View submission list and detail,Cannot update submission status,Same as other non-admin roles
issm,ISSM Dashboard,/issm/dashboard,Full (ISSM-specific),All ISSO profiles,View ISSO workload dashboard: package counts/open POA&Ms/overdue POA&Ms/productivity scores (0-100)/quiz metrics; per-ISSO system breakdown,Cannot modify ISSO profiles from this view,Productivity score formula: starts at 100; -25 overload penalty; -35 POA&M ratio penalty; -40 overdue penalty
issm,User Management,/admin/users,Read,All user profiles,View all users/roles/assignment counts (read-only),Cannot add/provision/freeze/remove users; no provisioned_token shown,_chk_role check: admin or issm allowed; issm gets read-only view
issm,Audit Log,/admin/audit,Read,Audit log,View audit log entries; filter by days/action type; paginate,Cannot export audit log,_chk_role check: admin|issm|auditor; issm has read access
issm,Teams,/systems/{id}/teams,Write,Assigned systems,Create teams and add/remove members for assigned systems,Cannot create teams for unassigned systems,role check: admin|system_owner|issm
issm,EIS Assessment,/systems/{id}/eis-assessment,Write,Assigned systems,Submit EIS self-assessment; marks system as is_eis=True; creates monitor RMF record,Cannot access if role not isso|issm|admin,Role check: issm or isso
issm,Artifact Approval,/systems/{id}/artifacts/{art_id}/approve,Write,Assigned systems' artifacts,Approve or reject evidence artifacts (sets approval_status/approved_by/approved_at),Cannot approve artifacts for unassigned systems,role check: admin|issm|auditor
issm,Role Shell,/switch-role-view,Downward,Can shell into isso|sca + lower roles,Shell into isso/sca/system_owner/auditor/bcdr/pen_tester/data_owner/pmo/incident_responder/employee,Cannot shell to ao or ciso,ROLE_CAN_VIEW_DOWN[issm] = isso + sca + all _LOWER_THAN_ISSO
isso,Dashboard,/dashboard,Role-scoped,Assigned systems only,View quiz activity/streak; view assigned systems; see POA&M/risk counts per system,Cannot access /admin,Primary workflow is system detail and POA&M management
isso,Systems,/systems,Role-scoped,Assigned systems only,View system detail; update system controls; view POA&Ms/risks/audit history,Cannot edit system record fields (admin-only edit form),_can_access_system check
isso,Controls,/controls,Read,All NIST controls,Browse control catalog,Cannot modify system control records for unassigned systems,Read access global
